# id	path	sha256	bytes	class	provenance	expected	dangerous-offset	rationale
N45-bidi-202b	raw/N45-bidi-202b.bin	5412253e42dc583fb9c0feb24ac83fd79441792ceacc9343206b391c453328b6	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N46-bidi-202d	raw/N46-bidi-202d.bin	7d705148465b9e5396518b39d7dee5db7234d3d245ac34673047d64708f9fd65	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N47-bidi-202e	raw/N47-bidi-202e.bin	59c135ae7331d4410dec690e742d841d09468c7093894d95c4380b3f32ae9ca5	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N48-bidi-202c	raw/N48-bidi-202c.bin	4899ef4a8b6b8d4e2e948398ae8ac9dcb536784e94100e773c660abd905457cc	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N49-bidi-2066	raw/N49-bidi-2066.bin	471f2515c2b1f977ffcffb6556c3e60cb1b21a5b322898a7b87d25a82699d5a6	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N50-bidi-2067	raw/N50-bidi-2067.bin	8d1e75bdab871b2c4856f8a9fd9ce522aeb7fbf33d9a3532ac0f9fc8655e11d7	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N51-bidi-2068	raw/N51-bidi-2068.bin	eb1c02e32b996506debe26d5b357d91d97b7cb57de68c59d4683d343cafac8fc	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N52-bidi-2069	raw/N52-bidi-2069.bin	ae1ca15b70d7f62f0b90e32102252c170bd311f4d7eea1caeb2392005af1c66c	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N53-bidi-section	raw/N53-bidi-section.bin	e984f55356c94cd42de492c0d029a97c6b2c9bacc849ff1e249a8144164a3579	178	negative	manual-adversarial	MalformedOutput	171	byte-exact hostile input generated from reviewed Python bytes
N54-bidi-path	raw/N54-bidi-path.bin	6125d3e3b4c82e8ea798e049e7ad71367b0b3119a778cc2f1ab71ece4726dc7d	177	negative	manual-adversarial	MalformedOutput	13	byte-exact hostile input generated from reviewed Python bytes
P13-crlf-valid	raw/P13-crlf-valid.bin	7f64339fe562a9888716f892d0e94cea084813d782624b6755f3e4070a32579c	180	positive	manual-adversarial	Extractable(LineEnding::CrLf)	178	byte-exact hostile input generated from reviewed Python bytes
N55-cr-interior	raw/N55-cr-interior.bin	a83cb6dd10140eb73cb1886ec0e4faa6a26cab56f20bd212ffce897919446627	180	negative	manual-adversarial	MalformedOutput	176	byte-exact hostile input generated from reviewed Python bytes
N56-cr-hunk	raw/N56-cr-hunk.bin	feb534b9f015d9374440b871b4297114ac3ed935221f9de259ec5a1a1e2aeb99	175	negative	manual-adversarial	MalformedOutput	164	byte-exact hostile input generated from reviewed Python bytes
N57-cr-diff	raw/N57-cr-diff.bin	2b6a0bed777717a355e7889cdd31c748b83a4accde399bd9b39db123db308fef	175	negative	manual-adversarial	MalformedOutput	4	byte-exact hostile input generated from reviewed Python bytes
N58-cr-path	raw/N58-cr-path.bin	b2d202395ab990ab5e27ef776133399f5be5d8f5d25ddd259be1b0e08f2462e8	175	negative	manual-adversarial	MalformedOutput	15	byte-exact hostile input generated from reviewed Python bytes
N59-cr-eof	raw/N59-cr-eof.bin	01b4705a5d8675dbdec428a087e23e566668427feb7a3c5e6f8b91f6cebf9f02	179	negative	manual-adversarial	MalformedOutput	178	byte-exact hostile input generated from reviewed Python bytes
N60-cr-double-terminal	raw/N60-cr-double-terminal.bin	6f7c621be1777ad0a9919267fe8217a6ea1dff20a5203b8c226fa253cd006124	181	negative	manual-adversarial	MalformedOutput	178	byte-exact hostile input generated from reviewed Python bytes
N61-cr-marker	raw/N61-cr-marker.bin	9e6fd50a3d937ef5ba1194cfc8a948d63be4b63d91bf10b6808aff3a40ead18b	208	negative	manual-adversarial	MalformedOutput	187	byte-exact hostile input generated from reviewed Python bytes
N62-cr-empty-payload	raw/N62-cr-empty-payload.bin	525b35e885172c054cd82a6fd137439d57993d2744b9b40c7fec5a1eaed5bab0	177	negative	manual-adversarial	MalformedOutput	175	byte-exact hostile input generated from reviewed Python bytes
